index,timestamp,source,mean_cmi,min_cmi,max_cmi
0,2026-05-05 18:01 UTC,OR_ABI-L2-CMIPC-M6C13_G19_s20261251801177_e20261251803562_c20261251804024.nc,279.4101867675781,204.5991668701172,326.33819580078125
1,2026-05-05 18:06 UTC,OR_ABI-L2-CMIPC-M6C13_G19_s20261251806177_e20261251808563_c20261251809026.nc,279.4122314453125,202.69412231445312,326.7069091796875
2,2026-05-05 18:11 UTC,OR_ABI-L2-CMIPC-M6C13_G19_s20261251811177_e20261251813562_c20261251814023.nc,279.408203125,203.43154907226562,327.07562255859375
3,2026-05-05 18:16 UTC,OR_ABI-L2-CMIPC-M6C13_G19_s20261251816177_e20261251818562_c20261251819014.nc,279.4110107421875,206.38131713867188,327.19854736328125
4,2026-05-05 18:21 UTC,OR_ABI-L2-CMIPC-M6C13_G19_s20261251821177_e20261251823563_c20261251824028.nc,279.4126892089844,202.3253936767578,327.7516174316406
5,2026-05-05 18:26 UTC,OR_ABI-L2-CMIPC-M6C13_G19_s20261251826177_e20261251828562_c20261251829017.nc,279.4083251953125,204.844970703125,328.05889892578125
6,2026-05-05 18:31 UTC,OR_ABI-L2-CMIPC-M6C13_G19_s20261251831177_e20261251833562_c20261251834011.nc,279.4095458984375,203.30865478515625,328.2432556152344
7,2026-05-05 18:36 UTC,OR_ABI-L2-CMIPC-M6C13_G19_s20261251836177_e20261251838562_c20261251839019.nc,279.406005859375,205.39805603027344,328.6734313964844
8,2026-05-05 18:41 UTC,OR_ABI-L2-CMIPC-M6C13_G19_s20261251841177_e20261251843562_c20261251844013.nc,279.40069580078125,204.1689910888672,328.79632568359375
9,2026-05-05 18:46 UTC,OR_ABI-L2-CMIPC-M6C13_G19_s20261251846177_e20261251848562_c20261251849033.nc,279.3929443359375,205.09078979492188,328.8577880859375
10,2026-05-05 18:51 UTC,OR_ABI-L2-CMIPC-M6C13_G19_s20261251851177_e20261251853562_c20261251854015.nc,279.3818054199219,204.5991668701172,329.10357666015625
11,2026-05-05 18:56 UTC,OR_ABI-L2-CMIPC-M6C13_G19_s20261251856177_e20261251858562_c20261251859007.nc,279.368408203125,202.14102172851562,329.10357666015625
